Date,Open,High,Low,Close,Adj Close,Volume
1996-06-20,6.67,6.67,6.67,6.67,1.85,0
1996-06-21,6.68,6.68,6.68,6.68,1.85,0
1996-06-24,6.69,6.69,6.69,6.69,1.85,0
1996-06-25,6.70,6.70,6.70,6.70,1.86,0
1996-06-26,6.71,6.71,6.71,6.71,1.86,0
1996-06-27,6.74,6.74,6.74,6.74,1.87,0
1996-06-28,6.75,6.75,6.75,6.75,1.88,0
1996-07-01,6.74,6.74,6.74,6.74,1.88,0
1996-07-02,6.73,6.73,6.73,6.73,1.88,0
1996-07-03,6.73,6.73,6.73,6.73,1.88,0
1996-07-05,6.64,6.64,6.64,6.64,1.85,0
1996-07-08,6.64,6.64,6.64,6.64,1.85,0
1996-07-09,6.66,6.66,6.66,6.66,1.86,0
1996-07-10,6.67,6.67,6.67,6.67,1.86,0
1996-07-11,6.69,6.69,6.69,6.69,1.87,0
1996-07-12,6.71,6.71,6.71,6.71,1.87,0
1996-07-15,6.70,6.70,6.70,6.70,1.87,0
1996-07-16,6.71,6.71,6.71,6.71,1.87,0
1996-07-17,6.71,6.71,6.71,6.71,1.87,0
1996-07-18,6.75,6.75,6.75,6.75,1.88,0
1996-07-19,6.74,6.74,6.74,6.74,1.88,0
1996-07-22,6.72,6.72,6.72,6.72,1.87,0
1996-07-23,6.72,6.72,6.72,6.72,1.87,0
1996-07-24,6.71,6.71,6.71,6.71,1.87,0
1996-07-25,6.72,6.72,6.72,6.72,1.87,0
1996-07-26,6.73,6.73,6.73,6.73,1.88,0
1996-07-29,6.70,6.70,6.70,6.70,1.87,0
1996-07-30,6.71,6.71,6.71,6.71,1.87,0
1996-07-31,6.71,6.71,6.71,6.71,1.88,0
1996-08-01,6.77,6.77,6.77,6.77,1.90,0
1996-08-02,6.82,6.82,6.82,6.82,1.91,0
1996-08-05,6.83,6.83,6.83,6.83,1.92,0
1996-08-06,6.82,6.82,6.82,6.82,1.91,0
1996-08-07,6.81,6.81,6.81,6.81,1.91,0
1996-08-08,6.81,6.81,6.81,6.81,1.91,0
1996-08-09,6.83,6.83,6.83,6.83,1.92,0
1996-08-12,6.84,6.84,6.84,6.84,1.92,0
1996-08-13,6.81,6.81,6.81,6.81,1.91,0
1996-08-14,6.80,6.80,6.80,6.80,1.91,0
1996-08-15,6.79,6.79,6.79,6.79,1.90,0
1996-08-16,6.81,6.81,6.81,6.81,1.91,0
1996-08-19,6.80,6.80,6.80,6.80,1.91,0
1996-08-20,6.80,6.80,6.80,6.80,1.91,0
1996-08-21,6.79,6.79,6.79,6.79,1.90,0
1996-08-22,6.79,6.79,6.79,6.79,1.90,0
1996-08-23,6.75,6.75,6.75,6.75,1.89,0
1996-08-26,6.73,6.73,6.73,6.73,1.89,0
1996-08-27,6.74,6.74,6.74,6.74,1.89,0
1996-08-28,6.73,6.73,6.73,6.73,1.89,0
1996-08-29,6.72,6.72,6.72,6.72,1.89,0
1996-08-30,6.65,6.65,6.65,6.65,1.88,0
1996-09-03,6.66,6.66,6.66,6.66,1.88,0
1996-09-04,6.65,6.65,6.65,6.65,1.88,0
1996-09-05,6.65,6.65,6.65,6.65,1.88,0
1996-09-06,6.67,6.67,6.67,6.67,1.88,0
1996-09-09,6.67,6.67,6.67,6.67,1.88,0
1996-09-10,6.66,6.66,6.66,6.66,1.88,0
1996-09-11,6.66,6.66,6.66,6.66,1.88,0
1996-09-12,6.68,6.68,6.68,6.68,1.89,0
1996-09-13,6.74,6.74,6.74,6.74,1.90,0
1996-09-16,6.74,6.74,6.74,6.74,1.90,0
1996-09-17,6.72,6.72,6.72,6.72,1.90,0
1996-09-18,6.72,6.72,6.72,6.72,1.90,0
1996-09-19,6.70,6.70,6.70,6.70,1.89,0
1996-09-20,6.71,6.71,6.71,6.71,1.89,0
1996-09-23,6.72,6.72,6.72,6.72,1.90,0
1996-09-24,6.74,6.74,6.74,6.74,1.90,0
1996-09-25,6.77,6.77,6.77,6.77,1.91,0
1996-09-26,6.79,6.79,6.79,6.79,1.92,0
1996-09-27,6.79,6.79,6.79,6.79,1.92,0
