Date,Open,High,Low,Close,Adj Close,Volume
1994-03-31,10.00,10.00,10.00,10.00,1.68,0
1994-04-04,9.83,9.83,9.83,9.83,1.66,0
1994-04-05,10.10,10.10,10.10,10.10,1.70,0
1994-04-06,10.12,10.12,10.12,10.12,1.71,0
1994-04-07,10.18,10.18,10.18,10.18,1.72,0
1994-04-08,10.13,10.13,10.13,10.13,1.71,0
1994-04-11,10.14,10.14,10.14,10.14,1.71,0
1994-04-12,10.06,10.06,10.06,10.06,1.70,0
1994-04-13,9.93,9.93,9.93,9.93,1.67,0
1994-04-14,9.95,9.95,9.95,9.95,1.68,0
1994-04-15,9.96,9.96,9.96,9.96,1.68,0
1994-04-18,9.89,9.89,9.89,9.89,1.67,0
1994-04-19,9.79,9.79,9.79,9.79,1.65,0
1994-04-20,9.67,9.67,9.67,9.67,1.63,0
1994-04-21,9.77,9.77,9.77,9.77,1.65,0
1994-04-22,9.81,9.81,9.81,9.81,1.65,0
1994-04-25,9.92,9.92,9.92,9.92,1.67,0
1994-04-26,9.98,9.98,9.98,9.98,1.68,0
1994-04-28,10.00,10.00,10.00,10.00,1.68,0
1994-04-29,10.04,10.04,10.04,10.04,1.69,0
1994-05-02,10.09,10.09,10.09,10.09,1.70,0
1994-05-03,10.11,10.11,10.11,10.11,1.70,0
1994-05-04,10.11,10.11,10.11,10.11,1.70,0
1994-05-05,10.10,10.10,10.10,10.10,1.70,0
1994-05-06,10.01,10.01,10.01,10.01,1.69,0
1994-05-09,9.89,9.89,9.89,9.89,1.67,0
1994-05-10,9.92,9.92,9.92,9.92,1.67,0
1994-05-11,9.80,9.80,9.80,9.80,1.65,0
1994-05-12,9.83,9.83,9.83,9.83,1.66,0
1994-05-13,9.80,9.80,9.80,9.80,1.65,0
1994-05-16,9.76,9.76,9.76,9.76,1.64,0
1994-05-17,9.76,9.76,9.76,9.76,1.64,0
1994-05-18,9.85,9.85,9.85,9.85,1.66,0
1994-05-19,9.93,9.93,9.93,9.93,1.67,0
1994-05-20,9.91,9.91,9.91,9.91,1.67,0
1994-05-23,9.89,9.89,9.89,9.89,1.67,0
1994-05-24,9.91,9.91,9.91,9.91,1.67,0
1994-05-25,9.91,9.91,9.91,9.91,1.67,0
1994-05-26,9.93,9.93,9.93,9.93,1.67,0
1994-05-27,9.95,9.95,9.95,9.95,1.68,0
1994-05-31,9.95,9.95,9.95,9.95,1.68,0
1994-06-01,9.97,9.97,9.97,9.97,1.68,0
