Date,Open,High,Low,Close,Adj Close,Volume
1991-04-02,10.00,10.00,10.00,10.00,4.57,0
1991-04-03,10.00,10.00,10.00,10.00,4.57,0
1991-04-04,10.02,10.02,10.02,10.02,4.58,0
1991-04-05,9.93,9.93,9.93,9.93,4.53,0
1991-04-08,10.00,10.00,10.00,10.00,4.57,0
1991-04-09,9.89,9.89,9.89,9.89,4.52,0
1991-04-10,9.87,9.87,9.87,9.87,4.51,0
1991-04-11,9.99,9.99,9.99,9.99,4.56,0
1991-04-12,10.05,10.05,10.05,10.05,4.59,0
1991-04-15,10.07,10.07,10.07,10.07,4.60,0
1991-04-16,10.22,10.22,10.22,10.22,4.67,0
1991-04-17,10.30,10.30,10.30,10.30,4.70,0
1991-04-18,10.26,10.26,10.26,10.26,4.68,0
1991-04-19,10.16,10.16,10.16,10.16,4.64,0
1991-04-22,10.07,10.07,10.07,10.07,4.60,0
1991-04-23,10.08,10.08,10.08,10.08,4.60,0
1991-04-24,10.10,10.10,10.10,10.10,4.61,0
1991-04-25,10.02,10.02,10.02,10.02,4.58,0
1991-04-26,10.01,10.01,10.01,10.01,4.57,0
1991-04-29,9.88,9.88,9.88,9.88,4.51,0
1991-04-30,9.91,9.91,9.91,9.91,4.52,0
1991-05-01,10.03,10.03,10.03,10.03,4.58,0
1991-05-02,10.04,10.04,10.04,10.04,4.58,0
1991-05-03,10.05,10.05,10.05,10.05,4.59,0
1991-05-06,10.04,10.04,10.04,10.04,4.58,0
1991-05-07,9.98,9.98,9.98,9.98,4.56,0
1991-05-08,9.98,9.98,9.98,9.98,4.56,0
1991-05-09,10.12,10.12,10.12,10.12,4.62,0
1991-05-10,9.95,9.95,9.95,9.95,4.54,0
1991-05-13,9.98,9.98,9.98,9.98,4.56,0
1991-05-14,9.85,9.85,9.85,9.85,4.50,0
1991-05-15,9.75,9.75,9.75,9.75,4.45,0
1991-05-16,9.85,9.85,9.85,9.85,4.50,0
1991-05-17,9.85,9.85,9.85,9.85,4.50,0
1991-05-20,9.85,9.85,9.85,9.85,4.50,0
1991-05-21,9.92,9.92,9.92,9.92,4.53,0
1991-05-22,9.95,9.95,9.95,9.95,4.54,0
1991-05-23,9.94,9.94,9.94,9.94,4.54,0
1991-05-24,10.00,10.00,10.00,10.00,4.57,0
1991-05-28,10.11,10.11,10.11,10.11,4.62,0
1991-05-29,10.14,10.14,10.14,10.14,4.63,0
1991-05-30,10.25,10.25,10.25,10.25,4.68,0
1991-05-31,10.32,10.32,10.32,10.32,4.71,0
1991-06-03,10.28,10.28,10.28,10.28,4.69,0
1991-06-04,10.28,10.28,10.28,10.28,4.69,0
1991-06-05,10.22,10.22,10.22,10.22,4.67,0
1991-06-06,10.18,10.18,10.18,10.18,4.65,0
1991-06-07,10.08,10.08,10.08,10.08,4.60,0
1991-06-10,10.06,10.06,10.06,10.06,4.59,0
1991-06-11,10.11,10.11,10.11,10.11,4.62,0
1991-06-12,10.00,10.00,10.00,10.00,4.57,0
1991-06-13,10.02,10.02,10.02,10.02,4.58,0
1991-06-14,10.14,10.14,10.14,10.14,4.63,0
1991-06-17,10.10,10.10,10.10,10.10,4.61,0
1991-06-18,10.06,10.06,10.06,10.06,4.59,0
1991-06-19,9.96,9.96,9.96,9.96,4.55,0
1991-06-20,9.97,9.97,9.97,9.97,4.55,0
1991-06-21,10.02,10.02,10.02,10.02,4.58,0
1991-06-24,9.85,9.85,9.85,9.85,4.50,0
1991-06-25,9.83,9.83,9.83,9.83,4.49,0
1991-06-26,9.85,9.85,9.85,9.85,4.50,0
1991-06-27,9.92,9.92,9.92,9.92,4.53,0
1991-06-28,9.85,9.85,9.85,9.85,4.50,0
1991-07-01,10.02,10.02,10.02,10.02,4.58,0
1991-07-02,10.01,10.01,10.01,10.01,4.57,0
1991-07-03,9.91,9.91,9.91,9.91,4.52,0
1991-07-05,9.93,9.93,9.93,9.93,4.53,0
1991-07-08,10.03,10.03,10.03,10.03,4.58,0
1991-07-09,10.00,10.00,10.00,10.00,4.57,0
1991-07-10,10.00,10.00,10.00,10.00,4.57,0
1991-07-11,10.03,10.03,10.03,10.03,4.58,0
1991-07-12,10.11,10.11,10.11,10.11,4.62,0
1991-07-15,10.18,10.18,10.18,10.18,4.65,0
1991-07-16,10.16,10.16,10.16,10.16,4.64,0
1991-07-17,10.15,10.15,10.15,10.15,4.63,0
1991-07-18,10.25,10.25,10.25,10.25,4.68,0
1991-07-19,10.22,10.22,10.22,10.22,4.67,0
1991-07-22,10.18,10.18,10.18,10.18,4.65,0
1991-07-23,10.09,10.09,10.09,10.09,4.61,0
1991-07-24,10.09,10.09,10.09,10.09,4.61,0
1991-07-25,10.13,10.13,10.13,10.13,4.63,0
1991-07-26,10.13,10.13,10.13,10.13,4.63,0
1991-07-29,10.19,10.19,10.19,10.19,4.65,0
1991-07-30,10.28,10.28,10.28,10.28,4.69,0
1991-07-31,10.32,10.32,10.32,10.32,4.71,0
1991-08-01,10.31,10.31,10.31,10.31,4.71,0
1991-08-02,10.32,10.32,10.32,10.32,4.71,0
1991-08-05,10.27,10.27,10.27,10.27,4.69,0
1991-08-06,10.40,10.40,10.40,10.40,4.75,0
1991-08-07,10.41,10.41,10.41,10.41,4.75,0
1991-08-08,10.40,10.40,10.40,10.40,4.75,0
1991-08-09,10.35,10.35,10.35,10.35,4.73,0
1991-08-12,10.38,10.38,10.38,10.38,4.74,0
1991-08-13,10.42,10.42,10.42,10.42,4.76,0
1991-08-14,10.44,10.44,10.44,10.44,4.77,0
1991-08-15,10.43,10.43,10.43,10.43,4.76,0
1991-08-16,10.34,10.34,10.34,10.34,4.72,0
1991-08-19,10.10,10.10,10.10,10.10,4.61,0
1991-08-20,10.18,10.18,10.18,10.18,4.65,0
1991-08-21,10.46,10.46,10.46,10.46,4.78,0
1991-08-22,10.48,10.48,10.48,10.48,4.79,0
1991-08-23,10.55,10.55,10.55,10.55,4.82,0
1991-08-26,10.54,10.54,10.54,10.54,4.81,0
1991-08-27,10.53,10.53,10.53,10.53,4.81,0
1991-08-28,10.62,10.62,10.62,10.62,4.85,0
1991-08-29,10.62,10.62,10.62,10.62,4.85,0
1991-08-30,10.60,10.60,10.60,10.60,4.84,0
1991-09-03,10.52,10.52,10.52,10.52,4.80,0
1991-09-04,10.46,10.46,10.46,10.46,4.78,0
1991-09-05,10.43,10.43,10.43,10.43,4.76,0
1991-09-06,10.43,10.43,10.43,10.43,4.76,0
1991-09-09,10.41,10.41,10.41,10.41,4.75,0
1991-09-10,10.31,10.31,10.31,10.31,4.71,0
1991-09-11,10.33,10.33,10.33,10.33,4.72,0
1991-09-12,10.40,10.40,10.40,10.40,4.75,0
1991-09-13,10.30,10.30,10.30,10.30,4.70,0
1991-09-16,10.35,10.35,10.35,10.35,4.73,0
1991-09-17,10.35,10.35,10.35,10.35,4.73,0
1991-09-18,10.39,10.39,10.39,10.39,4.74,0
1991-09-19,10.42,10.42,10.42,10.42,4.76,0
1991-09-20,10.44,10.44,10.44,10.44,4.77,0
1991-09-23,10.40,10.40,10.40,10.40,4.75,0
1991-09-24,10.45,10.45,10.45,10.45,4.77,0
1991-09-25,10.43,10.43,10.43,10.43,4.76,0
1991-09-26,10.43,10.43,10.43,10.43,4.76,0
1991-09-27,10.41,10.41,10.41,10.41,4.75,0
1991-09-30,10.46,10.46,10.46,10.46,4.78,0
1991-10-01,10.50,10.50,10.50,10.50,4.79,0
1991-10-02,10.47,10.47,10.47,10.47,4.78,0
1991-10-03,10.38,10.38,10.38,10.38,4.74,0
1991-10-04,10.31,10.31,10.31,10.31,4.71,0
1991-10-07,10.25,10.25,10.25,10.25,4.68,0
1991-10-08,10.28,10.28,10.28,10.28,4.69,0
1991-10-09,10.19,10.19,10.19,10.19,4.65,0
1991-10-10,10.27,10.27,10.27,10.27,4.69,0
1991-10-11,10.30,10.30,10.30,10.30,4.70,0
1991-10-14,10.42,10.42,10.42,10.42,4.76,0
1991-10-15,10.56,10.56,10.56,10.56,4.82,0
1991-10-16,10.62,10.62,10.62,10.62,4.85,0
1991-10-17,10.59,10.59,10.59,10.59,4.84,0
